#EXPORTTYPE:DATA ALL
#FILE:ExpDat_00094_CaC2O4_5_1000_Al2O3-lids_Air-30-10_TGA.imp
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:ExpDat_00094_CaC2O4_5_1000_Al2O
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:TG
#INSTRUMENT:IMPORTED TG
#PROJECT:
#DATE/TIME:30.09.2008 10:08
#CORR. FILE:
#TEMPCAL:---
#LABORATORY:
#OPERATOR:
#REMARK:
#SAMPLE:
#SAMPLE MASS /mg:18.516
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:
#TYPE OF CRUCIBLE:
#SAMPLE CRUCIBLE MASS /mg:0.000
#REFERENCE CRUCIBLE MASS /mg:
#PROTECTIVE GAS:
#FLOW RATE:
#PURGE GAS 1:
#FLOW RATE 1:
#PURGE GAS 2:
#FLOW RATE 2:
#M.RANGE /mg:0
#CORR. CODE:600
#RANGE:30oC/5.0(K/min)/1000oC
#SEGMENT:S1/1
#SEG. 1:30oC/5.0(K/min)/1000oC

##Temp./oC;Time/min;Mass/%;DTG/(%/min)
 30.09999; 0.00000;100.00000; 6.1895e-002
 30.59999; 0.10001;100.00590; 4.7221e-002
 31.09999; 0.20002;100.00645;-1.6020e-002
 31.59999; 0.30003;100.00455;-1.4980e-002
 32.09999; 0.40004;100.00333;-1.0591e-002
 32.59999; 0.50005;100.00240;-9.5465e-003
 33.09999; 0.60006;100.00125;-1.3154e-002
 33.59999; 0.70007; 99.99988;-1.4381e-002
 34.09999; 0.80008; 99.99836;-1.5788e-002
 34.59999; 0.90009; 99.99670;-1.7819e-002
 35.09999; 1.00010; 99.99480;-2.0003e-002
 35.59999; 1.10011; 99.99271;-2.1707e-002
 36.09999; 1.20012; 99.99048;-2.2269e-002
 36.59999; 1.30013; 99.98828;-2.1142e-002
 37.09999; 1.40014; 99.98628;-1.8520e-002
 37.59999; 1.50015; 99.98460;-1.4795e-002
 38.09999; 1.60017; 99.98333;-1.0542e-002
 38.59999; 1.70018; 99.98249;-6.1759e-003
 39.09999; 1.80019; 99.98208;-2.6045e-003
 39.59999; 1.90020; 99.98194;-8.6319e-004
 40.09999; 2.00021; 99.98187;-1.3491e-003
 40.59999; 2.10022; 99.98162;-4.3076e-003
 41.09999; 2.20023; 99.98097;-9.2190e-003
 41.59999; 2.30024; 99.97977;-1.5002e-002
 42.09999; 2.40025; 99.97797;-2.0517e-002
 42.59999; 2.50026; 99.97569;-2.4814e-002
 43.09999; 2.60027; 99.97304;-2.7799e-002
 43.59999; 2.70028; 99.97015;-2.9317e-002
 44.09999; 2.80029; 99.96719;-2.9861e-002
 44.59999; 2.90030; 99.96419;-2.9785e-002
