#EXPORTTYPE:                 ,DATA SINGLE                                   
#FILE:                       ,03881-2_bline_-30-180_10_Ar-20-70_03.04.12.bd3
#FORMAT:                     ,NETZSCH5                                      
#FTYPE:                      ,ASCII                                         
#IDENTITY:                   ,03881-2                                       
#DECIMAL:                    ,POINT                                         
#SEPARATOR:                  ,COMMA                                         
#MTYPE:                      ,DSC                                           
#INSTRUMENT:                 ,NETZSCH DSC 204F1                             
#PROJECT:                    ,'??<R?¿?Raai                                  
#DATE/TIME:                  ,03-Apr-12 5:24:10 PM                          
#CORR. FILE:                 ,                                              
#TEMPCAL:                    ,03060_Al-pirced_10_Ar-20-70_27.01.11.td3      
#SENSITIVITY:                ,Senszero.exx                                  
#LABORATORY:                 ,'?a¿Rý?-ÿ¿???                                 
#OPERATOR:                   ,?a?e?-?R                                      
#REMARK:                     ,                                              
#SAMPLE:                     ,bline                                         
#SAMPLE MASS /mg:            ,0.0000                                        
#MATERIAL:                   ,??a                                           
#REFERENCE:                  ,-?a                                           
#REFERENCE MASS /mg:         ,0.0000                                        
#TYPE OF CRUCIBLE:           ,Pan Al, pierced lid                           
#SAMPLE CRUCIBLE MASS /mg:   ,0.0000                                        
#REFERENCE CRUCIBLE MASS /mg:,0.0000                                        
#M.RANGE /cV:                ,5000                                          
#TAU-R:                      ,---                                           
#CORR. CODE:                 ,000                                           
#EXO:                        ,+1                                            
#RANGE:                      ,-30oC....180oC/0.0....10.0K/min               
#SEGMENT:                    ,S1-3/3                                        
#SEG. 1:                     ,-30oC/00:10/-30oC                             
#SEG. 2:                     ,-30oC/10.0(K/min)/180oC                       
#SEG. 3:                     ,180oC/00:10/180oC                             

##Temp./oC,Time/min,DSC/uV,Sensit./(uV/mW),Segment
-29.47700, 0.00000,    -5.69552,1.00000,1
-29.58079, 0.01000,    -5.67442,1.00000,1
-29.68354, 0.02000,    -5.65142,1.00000,1
-29.78422, 0.03000,    -5.62465,1.00000,1
-29.88180, 0.04000,    -5.59220,1.00000,1
-29.97523, 0.05000,    -5.55219,1.00000,1
-30.06348, 0.06000,    -5.50273,1.00000,1
-30.14552, 0.07000,    -5.44192,1.00000,1
-30.22031, 0.08000,    -5.36788,1.00000,1
-30.28682, 0.09000,    -5.27872,1.00000,1
-30.34400, 0.10000,    -5.17254,1.00000,1
-30.39118, 0.11000,    -5.04816,1.00000,1
-30.42907, 0.12000,    -4.90724,1.00000,1
-30.45876, 0.13000,    -4.75215,1.00000,1
-30.48131, 0.14000,    -4.58524,1.00000,1
-30.49781, 0.15000,    -4.40888,1.00000,1
-30.50932, 0.16000,    -4.22543,1.00000,1
-30.51692, 0.17000,    -4.03726,1.00000,1
-30.52168, 0.18000,    -3.84673,1.00000,1
-30.52468, 0.19000,    -3.65621,1.00000,1
-30.52700, 0.20000,    -3.46805,1.00000,1
-30.52951, 0.21000,    -3.28438,1.00000,1
-30.53230, 0.22000,    -3.10634,1.00000,1
-30.53528, 0.23000,    -2.93480,1.00000,1
-30.53835, 0.24000,    -2.77067,1.00000,1
-30.54141, 0.25000,    -2.61482,1.00000,1
-30.54435, 0.26000,    -2.46814,1.00000,1
-30.54708, 0.27000,    -2.33153,1.00000,1
-30.54950, 0.28000,    -2.20588,1.00000,1
-30.55151, 0.29000,    -2.09206,1.00000,1
-30.55300, 0.30000,    -1.99097,1.00000,1
-30.55391, 0.31000,    -1.90318,1.00000,1
-30.55427, 0.32000,    -1.82797,1.00000,1
