#EXPORTTYPE:                 ,DATA SINGLE                                               
#FILE:                       ,03882_Sapp-12.69mg-0.25mm_-30-180_10_Ar-20-70_03.04.12.dd3
#FORMAT:                     ,NETZSCH5                                                  
#FTYPE:                      ,ASCII                                                     
#IDENTITY:                   ,03882                                                     
#DECIMAL:                    ,POINT                                                     
#SEPARATOR:                  ,COMMA                                                     
#MTYPE:                      ,DSC                                                       
#INSTRUMENT:                 ,NETZSCH DSC 204F1                                         
#PROJECT:                    ,'??<R?¿?Raai                                              
#DATE/TIME:                  ,03-Apr-12 6:16:04 PM                                      
#CORR. FILE:                 ,03881-2_bline_-30-180_10_Ar-20-70_03.04.12.bd3            
#TEMPCAL:                    ,03060_Al-pirced_10_Ar-20-70_27.01.11.td3                  
#SENSITIVITY:                ,Senszero.exx                                              
#LABORATORY:                 ,'?a¿Rý?-ÿ¿???                                             
#OPERATOR:                   ,?a?e?-?R                                                  
#REMARK:                     ,                                                          
#SAMPLE:                     ,bline                                                     
#SAMPLE MASS /mg:            ,12.6900                                                   
#MATERIAL:                   ,??a                                                       
#REFERENCE:                  ,-?a                                                       
#REFERENCE MASS /mg:         ,0.0000                                                    
#TYPE OF CRUCIBLE:           ,Pan Al, pierced lid                                       
#SAMPLE CRUCIBLE MASS /mg:   ,0.0000                                                    
#REFERENCE CRUCIBLE MASS /mg:,0.0000                                                    
#M.RANGE /cV:                ,5000                                                      
#TAU-R:                      ,---                                                       
#CORR. CODE:                 ,000                                                       
#EXO:                        ,+1                                                        
#RANGE:                      ,-30oC....180oC/0.0....10.0K/min                           
#SEGMENT:                    ,S1-3/3                                                    
#SEG. 1:                     ,-30oC/00:10/-30oC                                         
#SEG. 2:                     ,-30oC/10.0(K/min)/180oC                                   
#SEG. 3:                     ,180oC/00:10/180oC                                         

##Temp./oC,Time/min,DSC/uV,Sensit./(uV/mW),Segment
-29.34800, 0.00000,    -1.02377,1.00000,1
-29.41076, 0.01000,    -1.05457,1.00000,1
-29.47295, 0.02000,    -1.08430,1.00000,1
-29.53403, 0.03000,    -1.11188,1.00000,1
-29.59342, 0.04000,    -1.13624,1.00000,1
-29.65057, 0.05000,    -1.15631,1.00000,1
-29.70491, 0.06000,    -1.17101,1.00000,1
-29.75588, 0.07000,    -1.17927,1.00000,1
-29.80293, 0.08000,    -1.18001,1.00000,1
-29.84549, 0.09000,    -1.17216,1.00000,1
-29.88300, 0.10000,    -1.15465,1.00000,1
-29.91508, 0.11000,    -1.12684,1.00000,1
-29.94209, 0.12000,    -1.08977,1.00000,1
-29.96458, 0.13000,    -1.04495,1.00000,1
-29.98307, 0.14000,    -0.99387,1.00000,1
-29.99812, 0.15000,    -0.93801,1.00000,1
-30.01026, 0.16000,    -0.87887,1.00000,1
-30.02004, 0.17000,    -0.81794,1.00000,1
-30.02800, 0.18000,    -0.75670,1.00000,1
-30.03467, 0.19000,    -0.69665,1.00000,1
-30.04060, 0.20000,    -0.63927,1.00000,1
-30.04624, 0.21000,    -0.58588,1.00000,1
-30.05165, 0.22000,    -0.53703,1.00000,1
-30.05683, 0.23000,    -0.49310,1.00000,1
-30.06174, 0.24000,    -0.45445,1.00000,1
-30.06636, 0.25000,    -0.42147,1.00000,1
-30.07067, 0.26000,    -0.39452,1.00000,1
-30.07466, 0.27000,    -0.37399,1.00000,1
-30.07829, 0.28000,    -0.36023,1.00000,1
-30.08156, 0.29000,    -0.35364,1.00000,1
-30.08443, 0.30000,    -0.35458,1.00000,1
-30.08689, 0.31000,    -0.36322,1.00000,1
-30.08898, 0.32000,    -0.37892,1.00000,1
-30.09073, 0.33000,    -0.40083,1.00000,1
-30.09218, 0.34000,    -0.42811,1.00000,1
-30.09336, 0.35000,    -0.45992,1.00000,1
-30.09432, 0.36000,    -0.49540,1.00000,1
-30.09510, 0.37000,    -0.53371,1.00000,1
-30.09572, 0.38000,    -0.57401,1.00000,1
-30.09623, 0.39000,    -0.61544,1.00000,1
-30.09667, 0.40000,    -0.65717,1.00000,1
-30.09706, 0.41000,    -0.69847,1.00000,1
-30.09742, 0.42000,    -0.73911,1.00000,1
-30.09773, 0.43000,    -0.77900,1.00000,1
-30.09800, 0.44000,    -0.81803,1.00000,1
-30.09823, 0.45000,    -0.85609,1.00000,1
-30.09840, 0.46000,    -0.89309,1.00000,1
-30.09852, 0.47000,    -0.92892,1.00000,1
-30.09859, 0.48000,    -0.96347,1.00000,1
-30.09860, 0.49000,    -0.99666,1.00000,1
-30.09855, 0.50000,    -1.02836,1.00000,1
-30.09843, 0.51000,    -1.05851,1.00000,1
-30.09827, 0.52000,    -1.08711,1.00000,1
-30.09807, 0.53000,    -1.11419,1.00000,1
-30.09785, 0.54000,    -1.13978,1.00000,1
-30.09762, 0.55000,    -1.16391,1.00000,1
-30.09739, 0.56000,    -1.18661,1.00000,1
-30.09717, 0.57000,    -1.20791,1.00000,1
-30.09699, 0.58000,    -1.22783,1.00000,1
-30.09685, 0.59000,    -1.24641,1.00000,1
-30.09677, 0.60000,    -1.26368,1.00000,1
-30.09675, 0.61000,    -1.27967,1.00000,1
-30.09677, 0.62000,    -1.29443,1.00000,1
-30.09678, 0.63000,    -1.30803,1.00000,1
-30.09677, 0.64000,    -1.32052,1.00000,1
-30.09670, 0.65000,    -1.33195,1.00000,1
-30.09653, 0.66000,    -1.34239,1.00000,1
-30.09623, 0.67000,    -1.35189,1.00000,1
-30.09576, 0.68000,    -1.36051,1.00000,1
-30.09509, 0.69000,    -1.36831,1.00000,1
-30.09420, 0.70000,    -1.37534,1.00000,1
-30.09307, 0.71000,    -1.38166,1.00000,1
-30.09179, 0.72000,    -1.38731,1.00000,1
-30.09049, 0.73000,    -1.39231,1.00000,1
-30.08929, 0.74000,    -1.39671,1.00000,1
-30.08832, 0.75000,    -1.40053,1.00000,1
-30.08768, 0.76000,    -1.40381,1.00000,1
-30.08751, 0.77000,    -1.40658,1.00000,1
-30.08793, 0.78000,    -1.40887,1.00000,1
-30.08905, 0.79000,    -1.41071,1.00000,1
-30.09100, 0.80000,    -1.41215,1.00000,1
-30.09385, 0.81000,    -1.41320,1.00000,1
-30.09748, 0.82000,    -1.41389,1.00000,1
-30.10170, 0.83000,    -1.41424,1.00000,1
-30.10634, 0.84000,    -1.41426,1.00000,1
-30.11122, 0.85000,    -1.41397,1.00000,1
-30.11617, 0.86000,    -1.41339,1.00000,1
-30.12102, 0.87000,    -1.41254,1.00000,1
-30.12557, 0.88000,    -1.41143,1.00000,1
-30.12966, 0.89000,    -1.41008,1.00000,1
-30.13312, 0.90000,    -1.40851,1.00000,1
-30.13580, 0.91000,    -1.40673,1.00000,1
-30.13774, 0.92000,    -1.40475,1.00000,1
-30.13902, 0.93000,    -1.40257,1.00000,1
-30.13972, 0.94000,    -1.40020,1.00000,1
-30.13991, 0.95000,    -1.39762,1.00000,1
-30.13967, 0.96000,    -1.39486,1.00000,1
-30.13909, 0.97000,    -1.39190,1.00000,1
-30.13823, 0.98000,    -1.38875,1.00000,1
-30.13717, 0.99000,    -1.38542,1.00000,1
-30.13600, 1.00000,    -1.38190,1.00000,1
-30.13478, 1.01000,    -1.37820,1.00000,1
-30.13351, 1.02000,    -1.37437,1.00000,1
-30.13222, 1.03000,    -1.37043,1.00000,1
-30.13089, 1.04000,    -1.36645,1.00000,1
-30.12954, 1.05000,    -1.36245,1.00000,1
-30.12815, 1.06000,    -1.35849,1.00000,1
-30.12675, 1.07000,    -1.35461,1.00000,1
-30.12532, 1.08000,    -1.35085,1.00000,1
-30.12387, 1.09000,    -1.34725,1.00000,1
-30.12241, 1.10000,    -1.34386,1.00000,1
-30.12094, 1.11000,    -1.34070,1.00000,1
-30.11946, 1.12000,    -1.33774,1.00000,1
-30.11797, 1.13000,    -1.33490,1.00000,1
-30.11649, 1.14000,    -1.33213,1.00000,1
-30.11502, 1.15000,    -1.32936,1.00000,1
-30.11356, 1.16000,    -1.32654,1.00000,1
-30.11211, 1.17000,    -1.32359,1.00000,1
-30.11069, 1.18000,    -1.32046,1.00000,1
